filename,text,response
Toolformer,"toolformer: enabled
toolformer access: wikipedia
A wrapper around Wikipedia. Useful for when you need to display general information about people, places, companies, historical events, or other subjects found in an encyclopedia, displays a snippet summary of the topic. Input should be a search query.
wikipedia(query)
Give me an overview of Leonardo da Vinci's life and work.",Here's a summary of Leonardo da Vinci's life and work: wikipedia('Leonardo da Vinci').
Toolformer,"toolformer: enabled
toolformer access: weather, news
Useful for when you want to get weather information from the OpenMeteo API. The input should be a question in natural language that this API can answer.
weather(querywithlocation)
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
How's the weather in Paris and what's the latest news from Paris?",The weather in Paris is weather('Weather in Paris') and the latest news from Paris is news('Latest news from Paris').
Toolformer,"toolformer: enabled
toolformer access: wolfram
A wolfram alpha search engine. Useful for when you need to answer questions about Math, Science, Technology, Culture, Society and Everyday Life. Input should be a search query.
wolfram(query)
Using Wolfram Alpha, find the airspeed velocity of an unladen swallow.",The airspeed velocity of an unladen swallow is wolfram('airspeed velocity of an unladen swallow').
Toolformer,"toolformer: enabled
toolformer access: wolfram, weather
A wolfram alpha search engine. Useful for when you need to answer questions about Math, Science, Technology, Culture, Society and Everyday Life. Input should be a search query.
wolfram(query)
Useful for when you want to get weather information from the OpenMeteo API. The input should be a question in natural language that this API can answer.
weather(querywithlocation)
Find the weather forecast for San Francisco.",The weather forecast for San Francisco is wolfram('San Francisco weather forecast').
Toolformer,"toolformer: enabled
toolformer access: request, wikipedia
A portal to the internet. Use this when you need to get specific content from a site. Input should be a specific url, and the output will be all the text on that page.
request(url)
A wrapper around Wikipedia. Useful for when you need to display general information about people, places, companies, historical events, or other subjects found in an encyclopedia, displays a snippet summary of the topic. Input should be a search query.
wikipedia(query)
Fetch the contents of the provided Wikipedia URL using the Requests tool.https://en.wikipedia.org/wiki/Artificial_intelligence",The content of the provided Wikipedia article is request('https://en.wikipedia.org/wiki/Artificial_intelligence')
Toolformer,"toolformer: enabled
toolformer access: shell
Executes commands in a terminal. Input should be valid commands, and the output will be any output from running that command.
shell(shellcommand)
How do I check my current IP address using a terminal?","To check your current IP address using a terminal, you can run the 'curl' command. Example: shell('curl ifconfig.me')"
Toolformer,"toolformer: enabled
toolformer access: wikipedia
A wrapper around Wikipedia. Useful for when you need to display general information about people, places, companies, historical events, or other subjects found in an encyclopedia, displays a snippet summary of the topic. Input should be a search query.
wikipedia(query)
When did the French Revolution begin?",The French Revolution began in wikipedia('French Revolution start date').
Toolformer,"toolformer: enabled
toolformer access: news
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
What are the current world market indices?",The current world market indices are news('current world market indices').
Toolformer,"toolformer: enabled
toolformer access: search
A search engine. Useful for when you need to answer questions about current events. Input should be a search query.
search(query)
Who won the 2022 Wimbledon Men's Singles title?","To find out who won the 2022 Wimbledon Men's Singles title, use the following search: search('2022 Wimbledon Mens Singles winner')"
Toolformer,"toolformer: enabled
toolformer access: news
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
Find the latest news on climate change.",Here are the latest news articles on climate change: news('climate change latest news')
Toolformer,"toolformer: enabled
toolformer access: news
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
Which cryptocurrency has the highest market cap right now?",The cryptocurrency with the highest market cap right now is news('cryptocurrency with the highest market cap').
Toolformer,"toolformer: enabled
toolformer access: news
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
Get the latest news about cryptocurrencies.What are the latest news stories about cryptocurrencies?",The latest news about cryptocurrencies is news('latest cryptocurrency news').
Toolformer,"toolformer: enabled
toolformer access: wikipedia
A wrapper around Wikipedia. Useful for when you need to display general information about people, places, companies, historical events, or other subjects found in an encyclopedia, displays a snippet summary of the topic. Input should be a search query.
wikipedia(query)
Tell me about the Eiffel Tower and its location.","The Eiffel Tower is a famous landmark in Paris, France. Here's more information about it: wikipedia('Eiffel Tower')"
Toolformer,"toolformer: enabled
toolformer access: python
A Python shell. Use this to execute python commands. Input should be a valid python command or script. If you expect output it should be printed out. Useful for all code, as well as math calculations.
python(codetoexecute)
How many miles are there in 45 kilometers?","There are python('round(45 * 0.621371, 2)') miles in 45 kilometers."
Toolformer,"toolformer: enabled
toolformer access: search
A search engine. Useful for when you need to answer questions about current events. Input should be a search query.
search(query)
Search for the most famous landmarks in Europe.",The most famous landmarks in Europe can be found here: search('most famous landmarks in Europe')
Toolformer,"toolformer: enabled
toolformer access: request
A portal to the internet. Use this when you need to get specific content from a site. Input should be a specific url, and the output will be all the text on that page.
request(url)
Find the definition of 'serendipity' from the Merriam-Webster website.",The definition of 'serendipity' is request('https://www.merriam-webster.com/dictionary/serendipity').
Toolformer,"toolformer: enabled
toolformer access: python
A Python shell. Use this to execute python commands. Input should be a valid python command or script. If you expect output it should be printed out. Useful for all code, as well as math calculations.
python(codetoexecute)
Find the length of the hypotenuse of a right triangle with legs of 3 and 4.","The length of the hypotenuse of a right triangle with legs of 3 and 4 is: python('import math; round(math.sqrt((3 ** 2) + (4 ** 2)), 2)')"
Toolformer,"toolformer: enabled
toolformer access: request
A portal to the internet. Use this when you need to get specific content from a site. Input should be a specific url, and the output will be all the text on that page.
request(url)
Find the text content of the website https://www.nutritionfacts.org.",The text content of the website https://www.nutritionfacts.org is request('https://www.nutritionfacts.org').
Toolformer,"toolformer: enabled
toolformer access: search
A search engine. Useful for when you need to answer questions about current events. Input should be a search query.
search(query)
Who won the last season of America's Got Talent?","The winner of the last season of America's Got Talent can be found by searching: search(""winner of last season's America's Got Talent"")."
Toolformer,"toolformer: enabled
toolformer access: request, wikipedia
A portal to the internet. Use this when you need to get specific content from a site. Input should be a specific url, and the output will be all the text on that page.
request(url)
A wrapper around Wikipedia. Useful for when you need to display general information about people, places, companies, historical events, or other subjects found in an encyclopedia, displays a snippet summary of the topic. Input should be a search query.
wikipedia(query)
Get the text from the Wikipedia page about natural language processing.",Here is the text from the Wikipedia page about natural language processing: request('https://en.wikipedia.org/wiki/Natural_language_processing').
Toolformer,"toolformer: enabled
toolformer access: weather
Useful for when you want to get weather information from the OpenMeteo API. The input should be a question in natural language that this API can answer.
weather(querywithlocation)
What is the air quality in New York City right now?",The current air quality in New York City is: weather('air quality in New York City')
Toolformer,"toolformer: enabled
toolformer access: news
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
Find the current top news headline",The current top news headline is: news('top headline')
Toolformer,"toolformer: enabled
toolformer access: wolfram
A wolfram alpha search engine. Useful for when you need to answer questions about Math, Science, Technology, Culture, Society and Everyday Life. Input should be a search query.
wolfram(query)
What is the derivative of x^3?",The derivative of x^3 is wolfram('derivative of x^3').
Toolformer,"toolformer: enabled
toolformer access: news
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
What are the recent breakthroughs in cancer research?",The recent breakthroughs in cancer research can be found here: news('recent breakthroughs in cancer research').
Toolformer,"toolformer: enabled
toolformer access: news
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
Tell me the latest updates about cryptocurrency.cryptocurrency",Here are the latest updates about cryptocurrency: news('latest updates on cryptocurrency').
Toolformer,"toolformer: enabled
toolformer access: python
A Python shell. Use this to execute python commands. Input should be a valid python command or script. If you expect output it should be printed out. Useful for all code, as well as math calculations.
python(codetoexecute)
What's the value of pi to the 5th decimal?","The value of pi to the 5th decimal is python('round(3.141592653589793, 5)')."
Toolformer,"toolformer: enabled
toolformer access: request
A portal to the internet. Use this when you need to get specific content from a site. Input should be a specific url, and the output will be all the text on that page.
request(url)
Find the lyrics to 'Bohemian Rhapsody' by Queen.",The lyrics to 'Bohemian Rhapsody' by Queen can be found at request('https://www.lyrics.com/lyric/511130/Queen/Bohemian+Rhapsody').
Toolformer,"toolformer: enabled
toolformer access: python
A Python shell. Use this to execute python commands. Input should be a valid python command or script. If you expect output it should be printed out. Useful for all code, as well as math calculations.
python(codetoexecute)
Calculate the expression's result.2 * 6 + 4 / 2",The result of the expression is python('2 * 6 + 4 / 2').
Toolformer,"toolformer: enabled
toolformer access: news
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
Find the latest news on Elon Musk.","To find the latest news on Elon Musk, use news('What is the latest news about Elon Musk?')."
Toolformer,"toolformer: enabled
toolformer access: python
A Python shell. Use this to execute python commands. Input should be a valid python command or script. If you expect output it should be printed out. Useful for all code, as well as math calculations.
python(codetoexecute)
What is the square root of 529?","The square root of 529 is python('pow(529, 0.5)')."
Toolformer,"toolformer: enabled
toolformer access: shell
Executes commands in a terminal. Input should be valid commands, and the output will be any output from running that command.
shell(shellcommand)
List the contents of a directory in Linux.","To list the contents of a directory in Linux, use this command: shell('ls -l')"
Toolformer,"toolformer: enabled
toolformer access: weather
Useful for when you want to get weather information from the OpenMeteo API. The input should be a question in natural language that this API can answer.
weather(querywithlocation)
What is the weather like tomorrow in London?",The weather for tomorrow in London is: weather('tomorrow weather in London').
Toolformer,"toolformer: enabled
toolformer access: wolfram
A wolfram alpha search engine. Useful for when you need to answer questions about Math, Science, Technology, Culture, Society and Everyday Life. Input should be a search query.
wolfram(query)
Calculate the square root of the provided number.9",The square root of 9 is wolfram('square root of 9').
Toolformer,"toolformer: enabled
toolformer access: search
A search engine. Useful for when you need to answer questions about current events. Input should be a search query.
search(query)
What is the capital of Spain?","To find the capital of Spain, search('capital of Spain')."
Toolformer,"toolformer: enabled
toolformer access: python
A Python shell. Use this to execute python commands. Input should be a valid python command or script. If you expect output it should be printed out. Useful for all code, as well as math calculations.
python(codetoexecute)
Sort the list of numbers in ascending order: 9, 5, 12, 7, 2","The sorted list is python('sorted([9, 5, 12, 7, 2])')."
Toolformer,"toolformer: enabled
toolformer access: search
A search engine. Useful for when you need to answer questions about current events. Input should be a search query.
search(query)
Are there any updates on the Mars Rover mission?",You can find updates on the Mars Rover mission here: search('Mars Rover mission updates').
Toolformer,"toolformer: enabled
toolformer access: shell
Executes commands in a terminal. Input should be valid commands, and the output will be any output from running that command.
shell(shellcommand)
Check the current CPU usage of the system.","The current CPU usage is shell('top -b -n1 | grep -i ""Cpu(s)""')."
Toolformer,"toolformer: enabled
toolformer access: python
A Python shell. Use this to execute python commands. Input should be a valid python command or script. If you expect output it should be printed out. Useful for all code, as well as math calculations.
python(codetoexecute)
Write a python code to remove duplicates from a list","Here's a Python code snippet to remove duplicates from a list using list comprehension: python('def remove_duplicates(l): return [l[i] for i in range(len(l)) if l[i] not in l[:i]']; remove_duplicates([1,2,2,3,4,4,5])')"
Toolformer,"toolformer: enabled
toolformer access: shell, news
Executes commands in a terminal. Input should be valid commands, and the output will be any output from running that command.
shell(shellcommand)
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
What does the command 'cat /etc/passwd' do in Linux and what's the top news headline?","The command 'cat /etc/passwd' shows the contents of the /etc/passwd file in a Linux terminal, which is shell('cat /etc/passwd'), and the top news headline is news('top headlines')."
Toolformer,"toolformer: enabled
toolformer access: python
A Python shell. Use this to execute python commands. Input should be a valid python command or script. If you expect output it should be printed out. Useful for all code, as well as math calculations.
python(codetoexecute)
Find the area of a circle with a radius of 7 units.",The area of the circle with a radius of 7 units is python('import math; math.pi * 7**2').
Toolformer,"toolformer: enabled
toolformer access: wolfram
A wolfram alpha search engine. Useful for when you need to answer questions about Math, Science, Technology, Culture, Society and Everyday Life. Input should be a search query.
wolfram(query)
Calculate the distance between London and Paris.distance between London and Paris",The distance between London and Paris is wolfram('distance between London and Paris').
Toolformer,"toolformer: enabled
toolformer access: weather, news
Useful for when you want to get weather information from the OpenMeteo API. The input should be a question in natural language that this API can answer.
weather(querywithlocation)
Use this when you want to get information about the top headlines of current news stories. The input should be a question in natural language that this API can answer.
news(query)
Get the weather forecast for tomorrow",The weather forecast for tomorrow is news('weather forecast for tomorrow').
Toolformer,"toolformer: enabled
toolformer access: weather
Useful for when you want to get weather information from the OpenMeteo API. The input should be a question in natural language that this API can answer.
weather(querywithlocation)
Get the weather forecast for Los Angeles, California.","The weather forecast for Los Angeles, California is weather('Los Angeles, California weather forecast')."
Toolformer,"toolformer: enabled
toolformer access: request
A portal to the internet. Use this when you need to get specific content from a site. Input should be a specific url, and the output will be all the text on that page.
request(url)
What are the popular travel destinations for 2022?",Popular travel destinations for 2022 can be found at request('https://www.example-travel-site.com/2022-travel-destinations').
Toolformer,"toolformer: enabled
toolformer access: python
A Python shell. Use this to execute python commands. Input should be a valid python command or script. If you expect output it should be printed out. Useful for all code, as well as math calculations.
python(codetoexecute)
How many lines are there in the given content?","There are python('len(input.split(""\n""))') lines in the given content."
