filename,text,response
Codegen,"In Python, write a recursive function to compute the Fibonacci sequence up to the nth term, where n is the function's argument.","def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n - 1) + fibonacci(n - 2)"
Codegen,"How would you implement a JavaScript function that receives an array of objects with a property 'name', sorts the objects alphabetically by the 'name' property, and returns the sorted array?[{name: 'Zoe'}, {name: 'Alexander'}, {name: 'Jenny'}, {name: 'Lisa'}]","function sortObjectsByName(arr) {
    return arr.sort((a, b) => a.name.localeCompare(b.name));
}

const sorted = sortObjectsByName([{name: 'Zoe'}, {name: 'Alexander'}, {name: 'Jenny'}, {name: 'Lisa'}]);
console.log(sorted);"
Codegen,Write a C program to calculate the factorial of a given integer.5,"#include <stdio.h>

int factorial(int n) {
    if (n == 0 || n == 1) {
        return 1;
    }
    return n * factorial(n - 1);}

int main() {
    int n = 5;
    printf(""Factorial of %d is %d\n"", n, factorial(n));
    return 0;}"
Codegen,"What is the output of the following JavaScript code if the input string is 'openai'?function reverseString(str) {
    return str.split('').reverse().join('');
}

console.log(reverseString('openai'));","The output will be 'ianepo', which is the reverse of the input string 'openai'."
Codegen,"Can you create a Python script that reads a CSV file line by line and prints each row?example.csv (with content):
Name,Age,Gender
Alice,27,F
Bob,34,M
Charlie,21,M","import csv

file_name = 'example.csv'

with open(file_name, newline='') as csvfile:
    reader = csv.reader(csvfile)
    for row in reader:
        print(', '.join(row))"
Codegen,"Translate the following Python code to JavaScript:

```
prices = [20.2, 5.5, 1.99, 10.0, 23.9, 15.6]
prices.sort(reverse=True)
for price in prices:
    print(f'$ {price:.2f}')
```","const prices = [20.2, 5.5, 1.99, 10.0, 23.9, 15.6];
prices.sort((a, b) => b - a);

for (const price of prices) {
    console.log(`$ ${price.toFixed(2)}`);
}"
Codegen,Create a function in JavaScript to detect if a string contains only unique characters.,"function hasUniqueChars(str) {
  const charSet = new Set(str);
  return charSet.size === str.length;
}"
Codegen,Write a C++ function that calculates the factorial of a given positive integer using recursion.6,"#include<iostream>
using namespace std;

int factorial(int n) {
    if (n <= 1) {
        return 1;
    }
    return n * factorial(n - 1);}

int main() {
    int number = 6;
    cout << ""Factorial of "" << number << "" is: "" << factorial(number) << endl;
    return 0;}"
Codegen,How to implement a Node.js server with Express that listens to a 'GET' request at '/users' and returns a JSON object containing a list of users?,"const express = require('express');
const app = express();

const users = [
    { id: 1, name: 'Alice' },
    { id: 2, name: 'Bob' },
];

app.get('/users', (req, res) => {
    res.json(users);});

const port = 3000;
app.listen(port, () => {
    console.log(`Server started and listening on port ${port}`);});"
Codegen,"How would you create a helper function in PHP that converts a string to title case?""this is a sample text""","<?php

function titleCase($str) {
    $words = explode(' ', $str);
    $result = [];
    
    foreach ($words as $word) {
        $result[] = ucfirst(strtolower($word));
    }
    
    return implode(' ', $result);}

echo titleCase(""this is a sample text"");

?>"
Codegen,Create a Python function that takes in two lists of integers and returns a new list containing the intersection of the two given lists.,"def list_intersection(list1, list2):
    return list(set(list1) & set(list2))"
Codegen,"What code would you use to reverse the order of the elements in an array in Python?input: [5, 7, 3, 9, 1]","def reverse_array(arr):
    return arr[::-1]

input_array = [5, 7, 3, 9, 1]
reversed_array = reverse_array(input_array)
print(reversed_array)"
Codegen,Create a Python function that receives a string and returns the count of vowels and consonants separately.,"def count_vowels_consonants(s):
    vowels = 'aeiou'
    consonants = 'bcdfghjklmnpqrstvwxyz'
    vowel_count = sum(1 for c in s.lower() if c in vowels)
    consonant_count = sum(1 for c in s.lower() if c in consonants)
    return vowel_count, consonant_count"
Codegen,"In JavaScript, how can you filter out only even numbers from an array?[1, 2, 3, 4, 5, 6, 7, 8, 9]","function filterEvenNumbers(arr) {
    return arr.filter(num => num % 2 === 0);}

const arr = [1, 2, 3, 4, 5, 6, 7, 8, 9];
const evenNumbers = filterEvenNumbers(arr);
console.log(evenNumbers);"
Codegen,"Design a C++ function that accepts a vector of integers and returns the average value of its elements.{5, 8, 10, 20}","#include <iostream>
#include <vector>

double average(const std::vector<int>& v) {
    double sum = 0;
    for (int num : v) {
        sum += num;
    }
    return sum / v.size();}

int main() {
    std::vector<int> input{5, 8, 10, 20};
    double result = average(input);
    std::cout << ""Average: "" << result << std::endl;}"
Codegen,How would you implement a recursive function in C++ that calculates the Fibonacci sequence for a given index?Calculate the 10th number in the Fibonacci sequence.,"#include<iostream>

using namespace std;

int fibonacci(int n) {
  if (n <=0) return 0;
  if (n == 1) return 1;
  return fibonacci(n - 1) + fibonacci(n - 2);
}

int main() {
  int n = 10;
  cout << ""The 10th Fibonacci number is: "" << fibonacci(n) << endl;
  return 0;
}"
Codegen,"Implement a function in PHP to find and return the smallest element in an array.[9, 5, 8, 14, 3]","<?php

function findSmallest($arr) {
    $min = $arr[0];
    for ($i = 1; $i < count($arr); $i++) {
        if ($arr[$i] < $min) {
            $min = $arr[$i];
        }
    }
    return $min;
}

$array = array(9, 5, 8, 14, 3);
$minValue = findSmallest($array);
echo ""Smallest value in the array: $minValue\n"";
?>"
Codegen,"Create a Python function called 'vowel_count' that accepts a string as its argument and returns the total number of vowels (a, e, i, o, u) within the input string.This is an example text.","def vowel_count(text):
    vowels = 'aeiou'
    count = 0
    for char in text.lower():
        if char in vowels:
            count += 1
    return count"
Codegen,"In JavaScript, how could one check if a given string is a valid IPv4 address?","function isValidIPv4Address(ip) {
  const segments = ip.split('.');
  if (segments.length !== 4) return false;

  for (const segment of segments) {
    if (isNaN(segment) || parseInt(segment) < 0 || parseInt(segment) > 255) {
      return false;
    }
  }

  return true;
}"
Codegen,"How would you write a JavaScript function that recursively calculates the nth Fibonacci number, given the value n as its input?6","function fibonacci(n) {
    if (n <= 1) {
        return n;
    }
    return fibonacci(n - 1) + fibonacci(n - 2);}

const n = 6;
const result = fibonacci(n);
console.log(`The ${n}th Fibonacci number is ${result}`);"
Codegen,How would you write a JavaScript function that accepts a list of numbers and returns their sum?,"function sum(numbers) {
    return numbers.reduce((acc, curr) => acc + curr, 0);
}"
